Latitude,Longitude,Altitude_m,Time,point_type,Distance_step_m,Distance_m,Grade_pct,Grade_pct_smooth
35.37466,138.93085,578.9,,trkpt,0.0,0.0,0.0,1.8283888933284274
35.37471,138.930919,579.3,,trkpt,8.369479915862039,8.369479915862039,4.779269488918752,1.6621717212076612
35.37486,138.93114,580.4,,trkpt,26.070855415876515,34.44033533173855,4.219270838846928,1.4771547625573518
35.375,138.93136,581.1,,trkpt,25.302299749148577,59.742635080887126,2.766546942135568,0.9282054637206991
35.37518,138.93163,581.2,,trkpt,31.620661415221544,91.36329649610867,0.31624891929643434,0.31837155980502524
35.375369,138.931909,581.6,,trkpt,32.8868037970882,124.25010029319688,1.216293326855294,-0.38686175251923827
35.375549,138.93218,582.3,,trkpt,31.69081742781973,155.9409177210166,2.208841730240249,-1.1899088669906603
35.37573,138.93246,583.2,,trkpt,32.39649392251707,188.33741164353367,2.778078399942375,-1.3036145730437048
35.37588,138.93268,583.3,,trkpt,26.001043218730413,214.3384548622641,0.3845999530044698,-0.8985138836356907
35.376019,138.93291,583.2,,trkpt,25.95645204314277,240.2949069054069,-0.3852606659557975,-0.4274394762582827
35.37617,138.93313,583.2,,trkpt,26.072457720483506,266.3673646258904,0.0,0.49214857056943223
35.37637,138.93344,583.0,,trkpt,35.8402525156566,302.20761714154696,-0.5580317825960536,1.5035125955913569
35.37647,138.93381,581.0,,trkpt,35.34077085947478,337.5483880010217,-5.659186122319131,2.3242450232677547
35.3765,138.93398,579.8,,trkpt,15.769825330310285,353.318213331332,-7.609469191098735,2.0634957251466366
35.37652,138.93428,577.0,,trkpt,27.290107549060195,380.60832088039217,-10.260128125058927,2.056925158981752
35.37652,138.93448,574.6,,trkpt,18.1328929112296,398.74121379162176,-13.235615584061991,1.7720987306078435
35.37668,138.93456,574.0,,trkpt,19.212874963173068,417.9540887547949,-3.1229058698924193,0.7921317908234873
35.37689,138.93466,575.5,,trkpt,25.049272602634733,443.0033613574296,5.988197836300552,-0.4047433010622489
35.37702,138.9347,576.7,,trkpt,14.903315011128772,457.9066763685584,8.051899856535059,-1.1564153288640022
35.37712,138.93463,579.0,,trkpt,12.803155438313198,470.70983180687153,17.964321460296016,-2.348578509632829
35.37721,138.93455,581.5,,trkpt,12.359545812131318,483.06937761900286,20.22728050043849,-3.707172974475424
35.37732,138.93442,585.1,,trkpt,16.986005101982663,500.0553827209855,21.193918042446715,-5.101965799279093
35.37739,138.93449,585.0,,trkpt,10.0430331560036,510.0984158769891,-0.9957151235754308,-6.5036382240988875
35.37756,138.93463,585.6,,trkpt,22.76922658973546,532.8676424667245,2.6351356188378716,-7.322904146286078
35.3776,138.93472,585.1,,trkpt,9.293197244291475,542.160839711016,-5.380279648181734,-8.035211569081362
35.3776,138.93478,584.1,,trkpt,5.439795063856446,547.6006347748724,-18.38304546883183,-8.567706301541474
35.37759,138.93485,582.7,,trkpt,6.443103224383306,554.0437379992558,-21.728660107474475,-8.951426557667855
35.37759,138.934859,582.6,,trkpt,0.8159693587700977,554.8597073580258,-12.255362156092689,-9.628057251219763
35.37757,138.93494,580.8,,trkpt,7.673071347569071,562.5327787055949,-23.458663662372068,-10.864340045727014
35.37754,138.93502,578.6,,trkpt,7.9834090352926435,570.5161877408875,-27.55714996280768,-11.99013503750535
35.377519,138.93505,577.6,,trkpt,3.5847617732789785,574.1009495141665,-27.8958564960734,-13.562842314984632
35.3775,138.93509,576.4,,trkpt,4.197054466192731,578.2980039803592,-28.59148027899195,-15.243708851870295
35.37746,138.93514,575.0,,trkpt,6.350789131161738,584.648793111521,-22.044504566062926,-16.94056854293466
35.37741,138.9352,573.3,,trkpt,7.778320555644659,592.4271136671656,-21.855617647004408,-17.537935920010145
35.3774,138.93521,573.0,,trkpt,1.4347186669219412,593.8618323340876,-20.910022774261193,-17.923212387112677
35.37737,138.93524,572.1,,trkpt,4.304156426379586,598.1659887604671,-20.910020706589574,-17.430111656360218
35.37731,138.93527,570.9,,trkpt,7.204818694736189,605.3708074552034,-16.655519740930615,-16.251583033684124
35.37727,138.93529,570.0,,trkpt,4.803212887328235,610.1740203425315,-18.737458053844417,-14.843963740486425
35.37724,138.9353,569.5,,trkpt,3.456858412091012,613.6308787546226,-14.463999979031714,-13.910009344857812
35.37722,138.9353,569.2,,trkpt,2.2238985328069827,615.8547772874296,-13.489824089289609,-12.437302293088301
35.37716,138.935309,568.3,,trkpt,6.721408688181773,622.5761859756113,-13.390050237274775,-10.66844126015605
35.37709,138.93532,567.3,,trkpt,7.84727582887626,630.4234618044876,-12.743275778840582,-8.901702678306723
35.3768,138.93536,563.1,,trkpt,32.44981584868419,662.8732776531718,-12.943062665085165,-7.026563281218808
35.37657,138.93538,561.8,,trkpt,25.639034579277887,688.5123122324497,-5.070393723212812,-5.490418567705659
35.37647,138.93539,562.3,,trkpt,11.156393755909182,699.668705988359,4.481734966867462,-4.287487668902017
35.37628,138.93541,563.4,,trkpt,21.2047089730124,720.8734149613714,5.187526984690106,-3.6916473331654474
35.37621,138.93541,563.9,,trkpt,7.783644865219484,728.6570598265909,6.4237257564795245,-2.811371315967197
35.37614,138.93541,564.4,,trkpt,7.783644865219484,736.4407046918103,6.4237257564795245,-2.0994331937910933
35.37608,138.93541,564.8,,trkpt,6.67169559842095,743.1124002902312,5.99547737301817,-1.6122210942346036
35.376,138.935399,565.5,,trkpt,8.9513257261556,752.0637260163868,7.820070695837367,-1.033988123643113
35.37594,138.93539,566.0,,trkpt,6.721410185875891,758.7851362022627,7.438915140913145,-0.46359358294729835
35.37588,138.93538,566.6,,trkpt,6.733018572649796,765.5181547749125,8.91130766276635,0.0503242229656196
35.37585,138.93537,566.9,,trkpt,3.456862508199715,768.9750172831123,8.678389704200017,0.5831453016753273
35.37581,138.93536,567.0,,trkpt,4.539263961086537,773.5142812441989,2.203000329068467,1.1663625560556825
35.37579,138.93536,566.8,,trkpt,2.2238985328069827,775.7381797770058,-8.993216059529814,1.2116890470505133
35.37571,138.93534,566.5,,trkpt,9.0785282820088,784.8167080590147,-3.304500362624565,0.8916985191928244
35.37564,138.935309,566.3,,trkpt,8.275551716115743,793.0922597751304,-2.416757297408547,0.5451980775419158
35.37563,138.935309,566.2,,trkpt,1.1119492660084478,794.2042090411388,-8.993216062714621,-0.005237300203343187
35.37554,138.93528,565.9,,trkpt,10.34718043798465,804.5513894791235,-2.8993405672019,-0.6114395688317253
35.3755,138.93526,565.8,,trkpt,4.803227902781442,809.354617381905,-2.0819332753733164,-1.293174302230221
35.37542,138.935219,565.5,,trkpt,9.64105045436736,818.9956678362723,-3.1116941190164153,-1.9803890716521564
35.3753,138.93516,565.2,,trkpt,14.375704796818004,833.3713726330903,-2.0868542046464262,-2.676125920572267
35.37518,138.93507,565.0,,trkpt,15.640670271733748,849.012042904824,-1.2787175774780637,-3.474156128164399
35.37514,138.93505,564.8,,trkpt,4.803230956726538,853.8152738615506,-4.163863903316196,-4.290737116522953
35.3751,138.93502,564.7,,trkpt,5.213558866310465,859.0288327278611,-1.9180755902863167,-4.621244684678379
35.37506,138.93498,564.6,,trkpt,5.738940700930352,864.7677734287914,-1.7424818483280635,-4.29174600477194
35.37503,138.934949,564.4,,trkpt,4.362067480152689,869.1298409089441,-4.584981798425656,-4.287220555950628
35.374989,138.93492,564.1,,trkpt,5.262862790241778,874.3927036991859,-5.700319616088118,-4.347507712374204
35.37494,138.93488,563.6,,trkpt,6.545173159695525,880.9378768588814,-7.639217294951742,-3.9627868758570246
35.37485,138.93478,562.8,,trkpt,13.50387673511394,894.4417535939954,-5.924224692601345,-3.869801597334521
35.37463,138.93452,560.6,,trkpt,33.97252202436989,928.4142756183652,-6.475821837489078,-3.5043350490582355
35.37449,138.93436,559.1,,trkpt,21.278719122176646,949.692994740542,-7.049296489076273,-3.1444770670246003
35.37438,138.93423,557.8,,trkpt,16.986291922542758,966.6792866630848,-7.6532300629710655,-2.8546416977337583
35.37416,138.933969,556.3,,trkpt,34.03559325319837,1000.714879916283,-4.407151034040057,-2.5028209396142627
35.37394,138.93372,555.5,,trkpt,33.288359907454655,1034.0032398237377,-2.403242461401053,-2.0397373533133587
35.37374,138.93348,554.5,,trkpt,31.11396017718821,1065.1172000009258,-3.2139913861983054,-1.74469546659533
35.373579,138.93329,553.6,,trkpt,24.8447175760186,1089.9619175769444,-3.622500425880082,-1.5660605838045065
